Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Custom Shape,GCT,Group,Optional,Shape ID,"type ""1""  to show  uom","type ""1""  to show kn-code","type ""1"" to activate kn colors"
202,Line,,2,,,112,36,None,Arrow,,,,,,,,,,,,
203,Line,,2,,,113,51,None,Arrow,,,,,,,,,,,,
204,Line,,2,,,115,102,None,Arrow,,,,,,,,,,,,
205,Line,,2,,,115,114,None,Arrow,,,,,,,,,,,,
206,Line,,2,,,108,116,None,Arrow,,,,,,,,,,,,
207,Line,,2,,,117,31,None,Arrow,,,,,,,,,,,,
208,Line,,2,,,30,117,None,Arrow,,,,,,,,,,,,
209,Line,,2,,,104,105,None,Arrow,,,,,,,,,,,,
210,Line,,2,,,49,118,None,Arrow,,,,,,,,,,,,
211,Line,,2,,,118,113,None,Arrow,,No,,,,,,,,,,
212,Line,,2,,,118,119,None,Arrow,,Yes,,,,,,,,,,
213,Line,,2,,,119,113,None,Arrow,,,,,,,,,,,,
214,Line,,2,,,100,120,None,Arrow,,,,,,,,,,,,
215,Line,,2,,,120,115,None,Arrow,,No,,,,,,,,,,
216,Line,,2,,,120,121,None,Arrow,,Yes,,,,,,,,,,
217,Line,,2,,,121,115,None,Arrow,,,,,,,,,,,,
218,Page,,,,,,,,,,1 Pager - Background ,,,,,,,,,,
219,Text,Standard,218,225:2,,,,,,,,,,,,,,,,,
220,Text,Standard,218,,,,,,,,,,,,,,,,,,
221,Text,Standard,218,,,,,,,,,,,,,,,,,,
222,MinimalTextBlock,Standard,218,,,,,,,,"Last modified: 12.05.2022 | 15:58 h
Page 1 of 1 ",,,,,,,,,,
223,MinimalTextBlock,Standard,218,,,,,,,,"Kuehne + Nagel | Contract Logistics
WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables | 1 Pager - Background ",,,,,,,,,,
224,AdvancedSwimLaneBlockRotated,Flowchart Shapes,218,,,,,,,,Customer,,,,,,,,,,
225,AdvancedSwimLaneBlockRotated,Flowchart Shapes,218,,,,,,,,KN System,KN Admin,KN Warehouse,,,,,,,,
226,AdvancedSwimLaneBlockRotated,Flowchart Shapes,218,,,,,,,,External Partner,,,,,,,,,,
227,AdvancedSwimLaneBlockRotated,Flowchart Shapes,218,,,,,,,,Data/Documents,,,,,,,,,,
228,MinimalTextBlock,Standard,218,,,,,,,,WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables,,,,,,,,,,
229,User Image,User Images,218,,,,,,,,,,,,,,,,,,
230,Page,,,,,,,,,,2 Pager -  Background ,,,,,,,,,,
231,Text,Standard,230,237:2,,,,,,,,,,,,,,,,,
232,Text,Standard,230,,,,,,,,,,,,,,,,,,
233,Text,Standard,230,,,,,,,,,,,,,,,,,,
234,MinimalTextBlock,Standard,230,,,,,,,,"Last modified: 12.05.2022 | 15:58 h
Page 1 of 2 ",,,,,,,,,,
235,MinimalTextBlock,Standard,230,,,,,,,,"Kuehne + Nagel | Contract Logistics
WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables | 2 Pager -  Background ",,,,,,,,,,
236,AdvancedSwimLaneBlockRotated,Flowchart Shapes,230,,,,,,,,Customer,,,,,,,,,,
237,AdvancedSwimLaneBlockRotated,Flowchart Shapes,230,,,,,,,,KN System,KN Admin,KN Warehouse,,,,,,,,
